Genus;Species;Author;Family;Classification K = 2/3;Classification K = 1/2;Total OG;Total SG;BEJ (SG);CR (SG);LSUR (SG);TIR (SG);JE (SG);LEP (SG);Finegan (SG);Letcher (SG);SV (OG);LEPviejo (OG);La Martita (OG);Clark (OG);Letcher (OG);TEAMplot (OG)
Coutarea;hexandra;(Jacq.) K. Schum.;Rubiaceae;Too rare;Too rare;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Croton;billbergianus;Müll. Arg.;Euphorbiaceae;Too rare;Too rare;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Croton;schiedeanus;Schlecht.;Euphorbiaceae;OG specialist;OG specialist;32;4;0;0;0;0;0;0;4;0;2;0;14;12;1;3
Croton;smithianus;Croizat;Euphorbiaceae;SG specialist;SG specialist;8;64;6;0;0;2;11;0;38;7;4;0;3;0;1;0
Cryosophila;warscewiczii;(H. Wendl.) Bartlett;Arecaceae;Too rare;Too rare;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cupania;cinerea;Poepp.;Sapindaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Cupania;glabra;Sw.;Sapindaceae;Too rare;SG specialist;1;5;0;0;0;5;0;0;0;0;0;0;1;0;0;0
Cupania;hirsuta;Radlk.;Sapindaceae;Too rare;Exclusive OG;7;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0
Cupania;macrophylla;A. Rich.;Sapindaceae;Too rare;Too rare;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Cupania;pseudostipularis;(Radlk.) Croat;Sapindaceae;Generalist;OG specialist;12;2;0;0;2;0;0;0;0;0;0;2;0;9;0;1
Cupania;sp1;;Sapindaceae;Too rare;Generalist;2;5;3;1;0;0;1;0;0;0;1;0;1;0;0;0
Cymbopetalum;costaricense;(Donn. Sm.) R.E. Fries;Annonaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dendropanax;arboreus;(L.) Dcne. & Planch.;Araliaceae;Generalist;OG specialist;152;77;7;10;8;22;4;5;6;15;12;14;8;84;7;27
Desmopsis;microcarpa;R.E. Fries;Annonaceae;Too rare;Too rare;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Dichapetalum;rugosum;(Vahl) Prance;Dichapetalaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dipteryx;panamensis;(Pittier) Record;Fabaceae;Too rare;Too rare;4;2;1;0;0;0;1;0;0;0;2;0;0;0;2;0
Doliocarpus;multiflorus;Standl.;Dilleniaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Drypetes;standleyi;G.L. Webster;Putranjivaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Dussia;macroprophyllata;(Donn. Sm.) Harms;Fabaceae;OG specialist;OG specialist;36;3;0;1;0;0;0;2;0;0;1;1;1;25;1;7
Dussia;sp. A;ined.;Fabaceae;Too rare;Exclusive OG;7;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0
Dystovomita;paniculata;(Donn. Sm.) Hammel;Clusiaceae;Exclusive OG;Exclusive OG;54;0;0;0;0;0;0;0;0;0;1;1;1;47;1;3
Elaeoluma;glabrescens;(Mart.& Eichler)Aubrev.;Sapotaceae;Too rare;Too rare;5;1;1;0;0;0;0;0;0;0;0;0;2;0;1;2
Erythrina;cochleata;Standl.;Fabaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Erythroxylum;fimbriatum;Peyr.;Erythroxylaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Erythroxylum;macrophyllum;Cav.;Erythroxylaceae;Too rare;Too rare;3;2;0;1;0;0;0;0;0;1;0;0;0;3;0;0
Eschweilera;costaricensis;S. A. Mori;Lecythidaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Eschweilera;longirachis;S. A. Mori;Lecythidaceae;OG specialist;OG specialist;25;1;0;0;0;1;0;0;0;0;2;2;0;19;0;2
Eugenia;basilaris;McVaugh;Myrtaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Eugenia;glandulosopunctata;P.E.Sanchez & Poveda;Myrtaceae;Too rare;Too rare;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
Eugenia;hammelii;Barrie;Myrtaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Eugenia;sp;;Myrtaceae;Exclusive OG;Exclusive OG;11;0;0;0;0;0;0;0;0;0;7;0;2;0;2;0
Eugenia;sp1;;Myrtaceae;Too rare;Too rare;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Eugenia;sp2;;Myrtaceae;Too rare;Too rare;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Euterpe;precatoria var. longevaginata;(Mart.) Henderson;Arecaceae;Generalist;OG specialist;211;91;0;60;16;0;0;3;3;9;18;26;15;114;6;32
Faramea;glandulosa;Poepp. & Endl.;Rubiaceae;Exclusive OG;Exclusive OG;11;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4
Faramea;multiflora;A. Rich.;Rubiaceae;Exclusive OG;Exclusive OG;13;0;0;0;0;0;0;0;0;0;2;5;0;0;6;0
Faramea;parvibractea;Steyerm.;Rubiaceae;Exclusive OG;Exclusive OG;143;0;0;0;0;0;0;0;0;0;20;5;1;97;4;16
Ferdinandusa;panamensis;Standl. & L. 0. Wms.;Rubiaceae;Exclusive OG;Exclusive OG;37;0;0;0;0;0;0;0;0;0;0;8;14;11;4;0
Ficus;brevibracteata;W. C. Burger;Moraceae;Too rare;Too rare;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0
Ficus;colubrinae;Standl.;Moraceae;Too rare;Too rare;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Ficus;maxima;Mill.;Moraceae;Too rare;Too rare;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0
Ficus;tonduzii;Standl.;Moraceae;Too rare;Too rare;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
